Algo,GraphSize,PQType,Result_ms
AStar,189,LL,1.2321000103838742
Prims,189,BMH,25.601400004234165
Prims,189,LL,50.66040001111105
AStar,190,BMH,1.6413000121247023
AStar,190,LL,1.8510999798309058
Prims,190,BMH,30.162100010784343
Prims,190,LL,72.87890001316555
AStar,191,BMH,1.2553999840747565
AStar,191,LL,1.2143000203650445
Prims,191,BMH,29.363600013311952
Prims,191,LL,68.65189998643473
AStar,192,BMH,1.9496000022627413
AStar,192,LL,1.8331999890506268
Prims,192,BMH,31.761599995661527
Prims,192,LL,63.674100005300716
AStar,193,BMH,3.0744000105187297
AStar,193,LL,3.0420999974012375
Prims,193,BMH,24.243099993327633
Prims,193,LL,55.70959998294711
AStar,194,BMH,2.28760001482442
AStar,194,LL,1.3241000124253333
Prims,194,BMH,23.551099991891533
Prims,194,LL,83.2759999902919
AStar,195,BMH,1.640600006794557
AStar,195,LL,1.8999000021722168
Prims,195,BMH,41.670999984489754
Prims,195,LL,90.1474000129383
AStar,196,BMH,1.3620000099763274
AStar,196,LL,1.3956000038888305
Prims,196,BMH,38.70659999665804
Prims,196,LL,67.37159998738207
